FullDate,DateKey,Year,Month,MonthName,Day,DayOfWeek,Quarter,Decade
1930-07-13,19300713,1930,7,July,13,Sunday,Q3,1930s
1930-07-14,19300714,1930,7,July,14,Monday,Q3,1930s
1930-07-15,19300715,1930,7,July,15,Tuesday,Q3,1930s
1930-07-16,19300716,1930,7,July,16,Wednesday,Q3,1930s
1930-07-17,19300717,1930,7,July,17,Thursday,Q3,1930s
1930-07-18,19300718,1930,7,July,18,Friday,Q3,1930s
1930-07-19,19300719,1930,7,July,19,Saturday,Q3,1930s
1930-07-20,19300720,1930,7,July,20,Sunday,Q3,1930s
1930-07-21,19300721,1930,7,July,21,Monday,Q3,1930s
1930-07-22,19300722,1930,7,July,22,Tuesday,Q3,1930s
1930-07-26,19300726,1930,7,July,26,Saturday,Q3,1930s
1930-07-27,19300727,1930,7,July,27,Sunday,Q3,1930s
1930-07-30,19300730,1930,7,July,30,Wednesday,Q3,1930s
1934-05-27,19340527,1934,5,May,27,Sunday,Q2,1930s
1934-05-31,19340531,1934,5,May,31,Thursday,Q2,1930s
1934-06-01,19340601,1934,6,June,1,Friday,Q2,1930s
1934-06-03,19340603,1934,6,June,3,Sunday,Q2,1930s
1934-06-07,19340607,1934,6,June,7,Thursday,Q2,1930s
1934-06-10,19340610,1934,6,June,10,Sunday,Q2,1930s
1938-06-04,19380604,1938,6,June,4,Saturday,Q2,1930s
1938-06-05,19380605,1938,6,June,5,Sunday,Q2,1930s
1938-06-09,19380609,1938,6,June,9,Thursday,Q2,1930s
1938-06-12,19380612,1938,6,June,12,Sunday,Q2,1930s
1938-06-14,19380614,1938,6,June,14,Tuesday,Q2,1930s
1938-06-16,19380616,1938,6,June,16,Thursday,Q2,1930s
1938-06-19,19380619,1938,6,June,19,Sunday,Q2,1930s
1950-06-24,19500624,1950,6,June,24,Saturday,Q2,1950s
1950-06-25,19500625,1950,6,June,25,Sunday,Q2,1950s
1950-06-28,19500628,1950,6,June,28,Wednesday,Q2,1950s
1950-06-29,19500629,1950,6,June,29,Thursday,Q2,1950s
1950-07-01,19500701,1950,7,July,1,Saturday,Q3,1950s
1950-07-02,19500702,1950,7,July,2,Sunday,Q3,1950s
1950-07-09,19500709,1950,7,July,9,Sunday,Q3,1950s
1950-07-13,19500713,1950,7,July,13,Thursday,Q3,1950s
1950-07-16,19500716,1950,7,July,16,Sunday,Q3,1950s
1954-06-16,19540616,1954,6,June,16,Wednesday,Q2,1950s
1954-06-17,19540617,1954,6,June,17,Thursday,Q2,1950s
1954-06-19,19540619,1954,6,June,19,Saturday,Q2,1950s
1954-06-20,19540620,1954,6,June,20,Sunday,Q2,1950s
1954-06-23,19540623,1954,6,June,23,Wednesday,Q2,1950s
1954-06-26,19540626,1954,6,June,26,Saturday,Q2,1950s
1954-06-27,19540627,1954,6,June,27,Sunday,Q2,1950s
1954-06-30,19540630,1954,6,June,30,Wednesday,Q2,1950s
1954-07-03,19540703,1954,7,July,3,Saturday,Q3,1950s
1954-07-04,19540704,1954,7,July,4,Sunday,Q3,1950s
1958-06-08,19580608,1958,6,June,8,Sunday,Q2,1950s
1958-06-11,19580611,1958,6,June,11,Wednesday,Q2,1950s
1958-06-12,19580612,1958,6,June,12,Thursday,Q2,1950s
1958-06-15,19580615,1958,6,June,15,Sunday,Q2,1950s
1958-06-17,19580617,1958,6,June,17,Tuesday,Q2,1950s
1958-06-19,19580619,1958,6,June,19,Thursday,Q2,1950s
1958-06-24,19580624,1958,6,June,24,Tuesday,Q2,1950s
1958-06-28,19580628,1958,6,June,28,Saturday,Q2,1950s
1958-06-29,19580629,1958,6,June,29,Sunday,Q2,1950s
1962-05-30,19620530,1962,5,May,30,Wednesday,Q2,1960s
1962-05-31,19620531,1962,5,May,31,Thursday,Q2,1960s
1962-06-02,19620602,1962,6,June,2,Saturday,Q2,1960s
1962-06-03,19620603,1962,6,June,3,Sunday,Q2,1960s
1962-06-06,19620606,1962,6,June,6,Wednesday,Q2,1960s
1962-06-07,19620607,1962,6,June,7,Thursday,Q2,1960s
1962-06-10,19620610,1962,6,June,10,Sunday,Q2,1960s
1962-06-13,19620613,1962,6,June,13,Wednesday,Q2,1960s
1962-06-16,19620616,1962,6,June,16,Saturday,Q2,1960s
1962-06-17,19620617,1962,6,June,17,Sunday,Q2,1960s
1966-07-11,19660711,1966,7,July,11,Monday,Q3,1960s
1966-07-12,19660712,1966,7,July,12,Tuesday,Q3,1960s
1966-07-13,19660713,1966,7,July,13,Wednesday,Q3,1960s
1966-07-15,19660715,1966,7,July,15,Friday,Q3,1960s
1966-07-16,19660716,1966,7,July,16,Saturday,Q3,1960s
1966-07-19,19660719,1966,7,July,19,Tuesday,Q3,1960s
1966-07-20,19660720,1966,7,July,20,Wednesday,Q3,1960s
1966-07-23,19660723,1966,7,July,23,Saturday,Q3,1960s
1966-07-25,19660725,1966,7,July,25,Monday,Q3,1960s
1966-07-26,19660726,1966,7,July,26,Tuesday,Q3,1960s
1966-07-28,19660728,1966,7,July,28,Thursday,Q3,1960s
1966-07-30,19660730,1966,7,July,30,Saturday,Q3,1960s
1970-05-31,19700531,1970,5,May,31,Sunday,Q2,1970s
1970-06-02,19700602,1970,6,June,2,Tuesday,Q2,1970s
1970-06-03,19700603,1970,6,June,3,Wednesday,Q2,1970s
1970-06-06,19700606,1970,6,June,6,Saturday,Q2,1970s
1970-06-07,19700607,1970,6,June,7,Sunday,Q2,1970s
1970-06-10,19700610,1970,6,June,10,Wednesday,Q2,1970s
1970-06-11,19700611,1970,6,June,11,Thursday,Q2,1970s
1970-06-14,19700614,1970,6,June,14,Sunday,Q2,1970s
1970-06-17,19700617,1970,6,June,17,Wednesday,Q2,1970s
1970-06-20,19700620,1970,6,June,20,Saturday,Q2,1970s
1970-06-21,19700621,1970,6,June,21,Sunday,Q2,1970s
1974-06-13,19740613,1974,6,June,13,Thursday,Q2,1970s
1974-06-14,19740614,1974,6,June,14,Friday,Q2,1970s
1974-06-15,19740615,1974,6,June,15,Saturday,Q2,1970s
1974-06-18,19740618,1974,6,June,18,Tuesday,Q2,1970s
1974-06-19,19740619,1974,6,June,19,Wednesday,Q2,1970s
1974-06-22,19740622,1974,6,June,22,Saturday,Q2,1970s
1974-06-23,19740623,1974,6,June,23,Sunday,Q2,1970s
1974-06-26,19740626,1974,6,June,26,Wednesday,Q2,1970s
1974-06-30,19740630,1974,6,June,30,Sunday,Q2,1970s
1974-07-03,19740703,1974,7,July,3,Wednesday,Q3,1970s
1974-07-06,19740706,1974,7,July,6,Saturday,Q3,1970s
1974-07-07,19740707,1974,7,July,7,Sunday,Q3,1970s
1978-06-01,19780601,1978,6,June,1,Thursday,Q2,1970s
1978-06-02,19780602,1978,6,June,2,Friday,Q2,1970s
1978-06-03,19780603,1978,6,June,3,Saturday,Q2,1970s
1978-06-06,19780606,1978,6,June,6,Tuesday,Q2,1970s
1978-06-07,19780607,1978,6,June,7,Wednesday,Q2,1970s
1978-06-10,19780610,1978,6,June,10,Saturday,Q2,1970s
1978-06-11,19780611,1978,6,June,11,Sunday,Q2,1970s
1978-06-14,19780614,1978,6,June,14,Wednesday,Q2,1970s
1978-06-18,19780618,1978,6,June,18,Sunday,Q2,1970s
1978-06-21,19780621,1978,6,June,21,Wednesday,Q2,1970s
1978-06-24,19780624,1978,6,June,24,Saturday,Q2,1970s
1978-06-25,19780625,1978,6,June,25,Sunday,Q2,1970s
1982-06-13,19820613,1982,6,June,13,Sunday,Q2,1980s
1982-06-14,19820614,1982,6,June,14,Monday,Q2,1980s
1982-06-15,19820615,1982,6,June,15,Tuesday,Q2,1980s
1982-06-16,19820616,1982,6,June,16,Wednesday,Q2,1980s
1982-06-17,19820617,1982,6,June,17,Thursday,Q2,1980s
1982-06-18,19820618,1982,6,June,18,Friday,Q2,1980s
1982-06-19,19820619,1982,6,June,19,Saturday,Q2,1980s
1982-06-20,19820620,1982,6,June,20,Sunday,Q2,1980s
1982-06-21,19820621,1982,6,June,21,Monday,Q2,1980s
1982-06-22,19820622,1982,6,June,22,Tuesday,Q2,1980s
1982-06-23,19820623,1982,6,June,23,Wednesday,Q2,1980s
1982-06-24,19820624,1982,6,June,24,Thursday,Q2,1980s
1982-06-25,19820625,1982,6,June,25,Friday,Q2,1980s
1982-06-28,19820628,1982,6,June,28,Monday,Q2,1980s
1982-06-29,19820629,1982,6,June,29,Tuesday,Q2,1980s
1982-07-01,19820701,1982,7,July,1,Thursday,Q3,1980s
1982-07-02,19820702,1982,7,July,2,Friday,Q3,1980s
1982-07-04,19820704,1982,7,July,4,Sunday,Q3,1980s
1982-07-05,19820705,1982,7,July,5,Monday,Q3,1980s
1982-07-08,19820708,1982,7,July,8,Thursday,Q3,1980s
1982-07-10,19820710,1982,7,July,10,Saturday,Q3,1980s
1982-07-11,19820711,1982,7,July,11,Sunday,Q3,1980s
1986-05-31,19860531,1986,5,May,31,Saturday,Q2,1980s
1986-06-01,19860601,1986,6,June,1,Sunday,Q2,1980s
1986-06-02,19860602,1986,6,June,2,Monday,Q2,1980s
1986-06-03,19860603,1986,6,June,3,Tuesday,Q2,1980s
1986-06-04,19860604,1986,6,June,4,Wednesday,Q2,1980s
1986-06-05,19860605,1986,6,June,5,Thursday,Q2,1980s
1986-06-06,19860606,1986,6,June,6,Friday,Q2,1980s
1986-06-07,19860607,1986,6,June,7,Saturday,Q2,1980s
1986-06-08,19860608,1986,6,June,8,Sunday,Q2,1980s
1986-06-09,19860609,1986,6,June,9,Monday,Q2,1980s
1986-06-10,19860610,1986,6,June,10,Tuesday,Q2,1980s
1986-06-11,19860611,1986,6,June,11,Wednesday,Q2,1980s
1986-06-12,19860612,1986,6,June,12,Thursday,Q2,1980s
1986-06-13,19860613,1986,6,June,13,Friday,Q2,1980s
1986-06-15,19860615,1986,6,June,15,Sunday,Q2,1980s
1986-06-16,19860616,1986,6,June,16,Monday,Q2,1980s
1986-06-17,19860617,1986,6,June,17,Tuesday,Q2,1980s
1986-06-18,19860618,1986,6,June,18,Wednesday,Q2,1980s
1986-06-21,19860621,1986,6,June,21,Saturday,Q2,1980s
1986-06-22,19860622,1986,6,June,22,Sunday,Q2,1980s
1986-06-25,19860625,1986,6,June,25,Wednesday,Q2,1980s
1986-06-28,19860628,1986,6,June,28,Saturday,Q2,1980s
1986-06-29,19860629,1986,6,June,29,Sunday,Q2,1980s
1990-06-08,19900608,1990,6,June,8,Friday,Q2,1990s
1990-06-09,19900609,1990,6,June,9,Saturday,Q2,1990s
1990-06-10,19900610,1990,6,June,10,Sunday,Q2,1990s
1990-06-11,19900611,1990,6,June,11,Monday,Q2,1990s
1990-06-12,19900612,1990,6,June,12,Tuesday,Q2,1990s
1990-06-13,19900613,1990,6,June,13,Wednesday,Q2,1990s
1990-06-14,19900614,1990,6,June,14,Thursday,Q2,1990s
1990-06-15,19900615,1990,6,June,15,Friday,Q2,1990s
1990-06-16,19900616,1990,6,June,16,Saturday,Q2,1990s
1990-06-17,19900617,1990,6,June,17,Sunday,Q2,1990s
1990-06-18,19900618,1990,6,June,18,Monday,Q2,1990s
1990-06-19,19900619,1990,6,June,19,Tuesday,Q2,1990s
1990-06-20,19900620,1990,6,June,20,Wednesday,Q2,1990s
1990-06-21,19900621,1990,6,June,21,Thursday,Q2,1990s
1990-06-23,19900623,1990,6,June,23,Saturday,Q2,1990s
1990-06-24,19900624,1990,6,June,24,Sunday,Q2,1990s
1990-06-25,19900625,1990,6,June,25,Monday,Q2,1990s
1990-06-26,19900626,1990,6,June,26,Tuesday,Q2,1990s
1990-06-30,19900630,1990,6,June,30,Saturday,Q2,1990s
1990-07-01,19900701,1990,7,July,1,Sunday,Q3,1990s
1990-07-03,19900703,1990,7,July,3,Tuesday,Q3,1990s
1990-07-04,19900704,1990,7,July,4,Wednesday,Q3,1990s
1990-07-07,19900707,1990,7,July,7,Saturday,Q3,1990s
1990-07-08,19900708,1990,7,July,8,Sunday,Q3,1990s
1991-11-16,19911116,1991,11,November,16,Saturday,Q4,1990s
1991-11-17,19911117,1991,11,November,17,Sunday,Q4,1990s
1991-11-19,19911119,1991,11,November,19,Tuesday,Q4,1990s
1991-11-21,19911121,1991,11,November,21,Thursday,Q4,1990s
1991-11-24,19911124,1991,11,November,24,Sunday,Q4,1990s
1991-11-27,19911127,1991,11,November,27,Wednesday,Q4,1990s
1991-11-29,19911129,1991,11,November,29,Friday,Q4,1990s
1991-11-30,19911130,1991,11,November,30,Saturday,Q4,1990s
1994-06-17,19940617,1994,6,June,17,Friday,Q2,1990s
1994-06-18,19940618,1994,6,June,18,Saturday,Q2,1990s
1994-06-19,19940619,1994,6,June,19,Sunday,Q2,1990s
1994-06-20,19940620,1994,6,June,20,Monday,Q2,1990s
1994-06-21,19940621,1994,6,June,21,Tuesday,Q2,1990s
1994-06-22,19940622,1994,6,June,22,Wednesday,Q2,1990s
1994-06-23,19940623,1994,6,June,23,Thursday,Q2,1990s
1994-06-24,19940624,1994,6,June,24,Friday,Q2,1990s
1994-06-25,19940625,1994,6,June,25,Saturday,Q2,1990s
1994-06-26,19940626,1994,6,June,26,Sunday,Q2,1990s
1994-06-27,19940627,1994,6,June,27,Monday,Q2,1990s
1994-06-28,19940628,1994,6,June,28,Tuesday,Q2,1990s
1994-06-29,19940629,1994,6,June,29,Wednesday,Q2,1990s
1994-06-30,19940630,1994,6,June,30,Thursday,Q2,1990s
1994-07-02,19940702,1994,7,July,2,Saturday,Q3,1990s
1994-07-03,19940703,1994,7,July,3,Sunday,Q3,1990s
1994-07-04,19940704,1994,7,July,4,Monday,Q3,1990s
1994-07-05,19940705,1994,7,July,5,Tuesday,Q3,1990s
1994-07-09,19940709,1994,7,July,9,Saturday,Q3,1990s
1994-07-10,19940710,1994,7,July,10,Sunday,Q3,1990s
1994-07-13,19940713,1994,7,July,13,Wednesday,Q3,1990s
1994-07-16,19940716,1994,7,July,16,Saturday,Q3,1990s
1994-07-17,19940717,1994,7,July,17,Sunday,Q3,1990s
1995-06-05,19950605,1995,6,June,5,Monday,Q2,1990s
1995-06-06,19950606,1995,6,June,6,Tuesday,Q2,1990s
1995-06-07,19950607,1995,6,June,7,Wednesday,Q2,1990s
1995-06-08,19950608,1995,6,June,8,Thursday,Q2,1990s
1995-06-09,19950609,1995,6,June,9,Friday,Q2,1990s
1995-06-10,19950610,1995,6,June,10,Saturday,Q2,1990s
1995-06-13,19950613,1995,6,June,13,Tuesday,Q2,1990s
1995-06-15,19950615,1995,6,June,15,Thursday,Q2,1990s
1995-06-17,19950617,1995,6,June,17,Saturday,Q2,1990s
1995-06-18,19950618,1995,6,June,18,Sunday,Q2,1990s
1998-06-10,19980610,1998,6,June,10,Wednesday,Q2,1990s
1998-06-11,19980611,1998,6,June,11,Thursday,Q2,1990s
1998-06-12,19980612,1998,6,June,12,Friday,Q2,1990s
1998-06-13,19980613,1998,6,June,13,Saturday,Q2,1990s
1998-06-14,19980614,1998,6,June,14,Sunday,Q2,1990s
1998-06-15,19980615,1998,6,June,15,Monday,Q2,1990s
1998-06-16,19980616,1998,6,June,16,Tuesday,Q2,1990s
1998-06-17,19980617,1998,6,June,17,Wednesday,Q2,1990s
1998-06-18,19980618,1998,6,June,18,Thursday,Q2,1990s
1998-06-19,19980619,1998,6,June,19,Friday,Q2,1990s
1998-06-20,19980620,1998,6,June,20,Saturday,Q2,1990s
1998-06-21,19980621,1998,6,June,21,Sunday,Q2,1990s
1998-06-22,19980622,1998,6,June,22,Monday,Q2,1990s
1998-06-23,19980623,1998,6,June,23,Tuesday,Q2,1990s
1998-06-24,19980624,1998,6,June,24,Wednesday,Q2,1990s
1998-06-25,19980625,1998,6,June,25,Thursday,Q2,1990s
1998-06-26,19980626,1998,6,June,26,Friday,Q2,1990s
1998-06-27,19980627,1998,6,June,27,Saturday,Q2,1990s
1998-06-28,19980628,1998,6,June,28,Sunday,Q2,1990s
1998-06-29,19980629,1998,6,June,29,Monday,Q2,1990s
1998-06-30,19980630,1998,6,June,30,Tuesday,Q2,1990s
1998-07-03,19980703,1998,7,July,3,Friday,Q3,1990s
1998-07-04,19980704,1998,7,July,4,Saturday,Q3,1990s
1998-07-07,19980707,1998,7,July,7,Tuesday,Q3,1990s
1998-07-08,19980708,1998,7,July,8,Wednesday,Q3,1990s
1998-07-11,19980711,1998,7,July,11,Saturday,Q3,1990s
1998-07-12,19980712,1998,7,July,12,Sunday,Q3,1990s
1999-06-19,19990619,1999,6,June,19,Saturday,Q2,1990s
1999-06-20,19990620,1999,6,June,20,Sunday,Q2,1990s
1999-06-23,19990623,1999,6,June,23,Wednesday,Q2,1990s
1999-06-24,19990624,1999,6,June,24,Thursday,Q2,1990s
1999-06-26,19990626,1999,6,June,26,Saturday,Q2,1990s
1999-06-27,19990627,1999,6,June,27,Sunday,Q2,1990s
1999-06-30,19990630,1999,6,June,30,Wednesday,Q2,1990s
1999-07-01,19990701,1999,7,July,1,Thursday,Q3,1990s
1999-07-04,19990704,1999,7,July,4,Sunday,Q3,1990s
1999-07-10,19990710,1999,7,July,10,Saturday,Q3,1990s
2002-05-31,20020531,2002,5,May,31,Friday,Q2,2000s
2002-06-01,20020601,2002,6,June,1,Saturday,Q2,2000s
2002-06-02,20020602,2002,6,June,2,Sunday,Q2,2000s
2002-06-03,20020603,2002,6,June,3,Monday,Q2,2000s
2002-06-04,20020604,2002,6,June,4,Tuesday,Q2,2000s
2002-06-05,20020605,2002,6,June,5,Wednesday,Q2,2000s
2002-06-06,20020606,2002,6,June,6,Thursday,Q2,2000s
2002-06-07,20020607,2002,6,June,7,Friday,Q2,2000s
2002-06-08,20020608,2002,6,June,8,Saturday,Q2,2000s
2002-06-09,20020609,2002,6,June,9,Sunday,Q2,2000s
2002-06-10,20020610,2002,6,June,10,Monday,Q2,2000s
2002-06-11,20020611,2002,6,June,11,Tuesday,Q2,2000s
