PlayerID,FullName,FamilyName,GivenName,BirthDate,Position,MainTeam,TournamentsPlayed
P-35894,Alan A'Court,A'Court,Alan,1934-09-30,Delantero,England,1
P-03484,Brenden Aaronson,Aaronson,Brenden,2000-10-22,Delantero,United States,1
P-04189,Stefan Abadzhiev,Abadzhiev,Stefan,1934-07-03,Delantero,Bulgaria,1
P-03523,Jean-Paul Abalo,Abalo,Jean-Paul,1975-06-26,Defensa,Togo,1
P-35138,Patrice Abanda,Abanda,Patrice,1978-08-03,Defensa,Cameroon,1
P-75462,Ignazio Abate,Abate,Ignazio,1986-11-12,Defensa,Italy,1
P-78277,Julio Abbadie,Abbadie,Julio,1930-09-07,Delantero,Uruguay,1
P-02042,Claude Abbes,Abbes,Claude,1927-05-24,Portero,France,2
P-81393,Christian Abbiati,Abbiati,Christian,1977-07-08,Portero,Italy,1
P-86290,Roberto Abbondanzieri,Abbondanzieri,Roberto,1972-08-19,Portero,Argentina,1
P-29132,Mohamed Abd Al-Jawad,Abd Al-Jawad,Mohamed,1962-11-28,Defensa,Saudi Arabia,1
P-26446,Adel Abdel Rahman,Abdel Rahman,Adel,1967-12-11,Delantero,Egypt,1
P-29161,Mohamed Abdel Shafy,Abdel Shafy,Mohamed,1985-07-01,Defensa,Egypt,1
P-73679,Gamal Abdel-Hamid,Abdel-Hamid,Gamal,1957-11-24,Mediocampista,Egypt,1
P-62193,Magdi Abdelghani,Abdelghani,Magdi,1959-07-27,Mediocampista,Egypt,1
P-61342,Nacer Abdellah,Abdellah,Nacer,1966-03-03,Defensa,Morocco,1
P-64924,Ali Abdi,Abdi,Ali,1993-12-20,Defensa,Tunisia,1
P-98081,Nasrollah Abdollahi,Abdollahi,Nasrollah,1951-09-02,Defensa,Iran,1
P-94880,Djamel Abdoun,Abdoun,Djamel,1986-02-14,Mediocampista,Algeria,1
P-21820,Salis Abdul Samed,Abdul Samed,Salis,2000-03-26,Mediocampista,Ghana,1
P-77199,Hussein Abdulghani,Abdulghani,Hussein,1977-01-21,Defensa,Saudi Arabia,2
P-73110,Hussein Abdulghani,Abdulghani,Hussein,1977-01-23,Defensa,Saudi Arabia,1
P-08125,Saud Abdulhamid,Abdulhamid,Saud,1999-07-18,Defensa,Saudi Arabia,1
P-03048,Majed Abdullah,Abdullah,Majed,1959-11-01,Delantero,Saudi Arabia,1
P-75724,Shehu Abdullahi,Abdullahi,Shehu,1993-03-12,Defensa,Nigeria,1
P-53430,Fahad Abdulrahman,Abdulrahman,Fahad,1962-10-10,Mediocampista,United Arab Emirates,1
P-00148,Yuki Abe,Abe,Yuki,1981-09-06,Mediocampista,Japan,1
P-56772,Ahmad Reza Abedzadeh,Abedzadeh,Ahmad Reza,1966-05-25,Portero,Iran,1
P-80505,Amir Abedzadeh,Abedzadeh,Amir,1993-04-26,Portero,Iran,2
