GoalID,MatchID,TournamentID,TeamID,TeamName,PlayerID,PlayerName,ShirtNumber,Minute,Period,GoalType,IsOwnGoal,IsPenalty,StageName,MatchDate
G-0001,M-1930-01,WC-1930,T-30,France,P-05470,Lucien Laurent,0,19',first half,Gol normal,0,0,group stage,1930-07-13
G-0002,M-1930-01,WC-1930,T-30,France,P-99087,Marcel Langiller,0,40',first half,Gol normal,0,0,group stage,1930-07-13
G-0003,M-1930-01,WC-1930,T-30,France,P-60620,André Maschinot,0,43',first half,Gol normal,0,0,group stage,1930-07-13
G-0004,M-1930-01,WC-1930,T-46,Mexico,P-94135,Juan Carreño,0,70',second half,Gol normal,0,0,group stage,1930-07-13
G-0005,M-1930-01,WC-1930,T-30,France,P-60620,André Maschinot,0,87',second half,Gol normal,0,0,group stage,1930-07-13
G-0006,M-1930-02,WC-1930,T-83,United States,P-65185,Bart McGhee,0,23',first half,Gol normal,0,0,group stage,1930-07-13
G-0007,M-1930-02,WC-1930,T-83,United States,P-37361,Tom Florie,0,45',first half,Gol normal,0,0,group stage,1930-07-13
G-0008,M-1930-02,WC-1930,T-83,United States,P-71973,Bert Patenaude,0,69',second half,Gol normal,0,0,group stage,1930-07-13
G-0009,M-1930-03,WC-1930,T-87,Yugoslavia,P-43349,Aleksandar Tirnanić,0,21',first half,Gol normal,0,0,group stage,1930-07-14
G-0010,M-1930-03,WC-1930,T-87,Yugoslavia,P-43734,Ivan Bek,0,30',first half,Gol normal,0,0,group stage,1930-07-14
G-0011,M-1930-03,WC-1930,T-09,Brazil,P-91171,Preguinho,0,62',second half,Gol normal,0,0,group stage,1930-07-14
G-0012,M-1930-04,WC-1930,T-61,Romania,P-91295,Adalbert Deşu,0,1',first half,Gol normal,0,0,group stage,1930-07-14
G-0013,M-1930-04,WC-1930,T-56,Peru,P-44010,Luis Souza Ferreira,0,75',second half,Gol normal,0,0,group stage,1930-07-14
G-0014,M-1930-04,WC-1930,T-61,Romania,P-18615,Constantin Stanciu,0,79',second half,Gol normal,0,0,group stage,1930-07-14
G-0015,M-1930-04,WC-1930,T-61,Romania,P-70294,Miklós Kovács,0,89',second half,Gol normal,0,0,group stage,1930-07-14
G-0016,M-1930-05,WC-1930,T-03,Argentina,P-25760,Luis Monti,0,81',second half,Gol normal,0,0,group stage,1930-07-15
G-0017,M-1930-06,WC-1930,T-13,Chile,P-61338,Carlos Vidal,0,3',first half,Gol normal,0,0,group stage,1930-07-16
G-0018,M-1930-06,WC-1930,T-13,Chile,P-89481,Manuel Rosas,0,52',second half,Autogol,1,0,group stage,1930-07-16
G-0019,M-1930-06,WC-1930,T-13,Chile,P-61338,Carlos Vidal,0,65',second half,Gol normal,0,0,group stage,1930-07-16
G-0020,M-1930-07,WC-1930,T-87,Yugoslavia,P-43734,Ivan Bek,0,60',second half,Gol normal,0,0,group stage,1930-07-17
G-0021,M-1930-07,WC-1930,T-87,Yugoslavia,P-75929,Blagoje Marjanović,0,65',second half,Gol normal,0,0,group stage,1930-07-17
G-0022,M-1930-07,WC-1930,T-87,Yugoslavia,P-43734,Ivan Bek,0,67',second half,Gol normal,0,0,group stage,1930-07-17
G-0023,M-1930-07,WC-1930,T-87,Yugoslavia,P-33565,Đorđe Vujadinović,0,85',second half,Gol normal,0,0,group stage,1930-07-17
G-0024,M-1930-08,WC-1930,T-83,United States,P-71973,Bert Patenaude,0,10',first half,Gol normal,0,0,group stage,1930-07-17
G-0025,M-1930-08,WC-1930,T-83,United States,P-71973,Bert Patenaude,0,15',first half,Gol normal,0,0,group stage,1930-07-17
G-0026,M-1930-08,WC-1930,T-83,United States,P-71973,Bert Patenaude,0,50',second half,Gol normal,0,0,group stage,1930-07-17
G-0027,M-1930-09,WC-1930,T-84,Uruguay,P-54697,Héctor Castro,0,65',second half,Gol normal,0,0,group stage,1930-07-18
G-0028,M-1930-10,WC-1930,T-13,Chile,P-08459,Guillermo Subiabre,0,67',second half,Gol normal,0,0,group stage,1930-07-19
G-0029,M-1930-11,WC-1930,T-03,Argentina,P-56486,Guillermo Stábile,0,8',first half,Gol normal,0,0,group stage,1930-07-19
G-0030,M-1930-11,WC-1930,T-03,Argentina,P-76546,Adolfo Zumelzú,0,12',first half,Gol normal,0,0,group stage,1930-07-19
G-0031,M-1930-11,WC-1930,T-03,Argentina,P-56486,Guillermo Stábile,0,17',first half,Gol normal,0,0,group stage,1930-07-19
