MatchID,TournamentID,StageName,GroupName,MatchDate,DateKey,HomeTeamID,HomeTeamName,AwayTeamID,AwayTeamName,HomeGoals,AwayGoals,TotalGoals,MatchResult,WinnerTeamID,WentToExtraTime,WentToPenalties,IsKnockout,IsGroupStage,StadiumName,City,MatchCountry
M-1930-01,WC-1930,group stage,Group 1,1930-07-13,19300713,T-30,France,T-46,Mexico,4,1,5,Local,T-30,0,0,0,1,Estadio Pocitos,Montevideo,Uruguay
M-1930-02,WC-1930,group stage,Group 4,1930-07-13,19300713,T-83,United States,T-06,Belgium,3,0,3,Local,T-83,0,0,0,1,Estadio Gran Parque Central,Montevideo,Uruguay
M-1930-03,WC-1930,group stage,Group 2,1930-07-14,19300714,T-87,Yugoslavia,T-09,Brazil,2,1,3,Local,T-87,0,0,0,1,Estadio Gran Parque Central,Montevideo,Uruguay
M-1930-04,WC-1930,group stage,Group 3,1930-07-14,19300714,T-61,Romania,T-56,Peru,3,1,4,Local,T-61,0,0,0,1,Estadio Pocitos,Montevideo,Uruguay
M-1930-05,WC-1930,group stage,Group 1,1930-07-15,19300715,T-03,Argentina,T-30,France,1,0,1,Local,T-03,0,0,0,1,Estadio Gran Parque Central,Montevideo,Uruguay
M-1930-06,WC-1930,group stage,Group 1,1930-07-16,19300716,T-13,Chile,T-46,Mexico,3,0,3,Local,T-13,0,0,0,1,Estadio Gran Parque Central,Montevideo,Uruguay
M-1930-07,WC-1930,group stage,Group 2,1930-07-17,19300717,T-87,Yugoslavia,T-07,Bolivia,4,0,4,Local,T-87,0,0,0,1,Estadio Gran Parque Central,Montevideo,Uruguay
M-1930-08,WC-1930,group stage,Group 4,1930-07-17,19300717,T-83,United States,T-55,Paraguay,3,0,3,Local,T-83,0,0,0,1,Estadio Gran Parque Central,Montevideo,Uruguay
M-1930-09,WC-1930,group stage,Group 3,1930-07-18,19300718,T-84,Uruguay,T-56,Peru,1,0,1,Local,T-84,0,0,0,1,Estadio Centenario,Montevideo,Uruguay
M-1930-10,WC-1930,group stage,Group 1,1930-07-19,19300719,T-13,Chile,T-30,France,1,0,1,Local,T-13,0,0,0,1,Estadio Centenario,Montevideo,Uruguay
M-1930-11,WC-1930,group stage,Group 1,1930-07-19,19300719,T-03,Argentina,T-46,Mexico,6,3,9,Local,T-03,0,0,0,1,Estadio Centenario,Montevideo,Uruguay
M-1930-12,WC-1930,group stage,Group 2,1930-07-20,19300720,T-09,Brazil,T-07,Bolivia,4,0,4,Local,T-09,0,0,0,1,Estadio Centenario,Montevideo,Uruguay
M-1930-13,WC-1930,group stage,Group 4,1930-07-20,19300720,T-55,Paraguay,T-06,Belgium,1,0,1,Local,T-55,0,0,0,1,Estadio Centenario,Montevideo,Uruguay
