TournamentID,TeamID,TeamName,MatchesPlayed,Wins,Draws,Losses,GoalsFor,GoalsAgainst,ExtraTimeGames,PenaltyGames,FinalPosition,GoalDifference,Points,WinPct
WC-1930,T-03,Argentina,5,4,0,1,18,9,0,0,2.0,9,12,80.0
WC-1930,T-06,Belgium,2,0,0,2,0,4,0,0,,-4,0,0.0
WC-1930,T-07,Bolivia,2,0,0,2,0,8,0,0,,-8,0,0.0
WC-1930,T-09,Brazil,2,1,0,1,5,2,0,0,,3,3,50.0
WC-1930,T-13,Chile,3,2,0,1,5,3,0,0,,2,6,66.7
WC-1930,T-30,France,3,1,0,2,4,3,0,0,,1,3,33.3
WC-1930,T-46,Mexico,3,0,0,3,4,13,0,0,,-9,0,0.0
WC-1930,T-55,Paraguay,2,1,0,1,1,3,0,0,,-2,3,50.0
WC-1930,T-56,Peru,2,0,0,2,1,4,0,0,,-3,0,0.0
WC-1930,T-61,Romania,2,1,0,1,3,5,0,0,,-2,3,50.0
WC-1930,T-83,United States,3,2,0,1,7,6,0,0,3.0,1,6,66.7
WC-1930,T-84,Uruguay,4,4,0,0,15,3,0,0,1.0,12,12,100.0
WC-1930,T-87,Yugoslavia,3,2,0,1,7,7,0,0,4.0,0,6,66.7
WC-1934,T-03,Argentina,1,0,0,1,2,3,0,0,,-1,0,0.0
WC-1934,T-05,Austria,4,2,0,2,7,7,1,0,4.0,0,6,50.0
WC-1934,T-06,Belgium,1,0,0,1,2,5,0,0,,-3,0,0.0
WC-1934,T-09,Brazil,1,0,0,1,1,3,0,0,,-2,0,0.0
WC-1934,T-21,Czechoslovakia,4,3,0,1,9,6,1,0,2.0,3,9,75.0
WC-1934,T-26,Egypt,1,0,0,1,2,4,0,0,,-2,0,0.0
WC-1934,T-30,France,1,0,0,1,2,3,1,0,,-1,0,0.0
WC-1934,T-31,Germany,4,3,0,1,11,8,0,0,3.0,3,9,75.0
WC-1934,T-36,Hungary,2,1,0,1,5,4,0,0,,1,3,50.0
WC-1934,T-41,Italy,5,4,1,0,12,3,2,0,1.0,9,13,80.0
WC-1934,T-48,Netherlands,1,0,0,1,2,3,0,0,,-1,0,0.0
WC-1934,T-61,Romania,1,0,0,1,1,2,0,0,,-1,0,0.0
WC-1934,T-73,Spain,3,1,1,1,4,3,1,0,,1,4,33.3
WC-1934,T-74,Sweden,2,1,0,1,4,4,0,0,,0,3,50.0
WC-1934,T-75,Switzerland,2,1,0,1,5,5,0,0,,0,3,50.0
WC-1934,T-83,United States,1,0,0,1,1,7,0,0,,-6,0,0.0
WC-1938,T-06,Belgium,1,0,0,1,1,3,0,0,,-2,0,0.0
WC-1938,T-09,Brazil,5,3,1,1,14,11,2,0,3.0,3,10,60.0
WC-1938,T-19,Cuba,3,1,1,1,5,12,1,0,,-7,4,33.3
WC-1938,T-21,Czechoslovakia,3,1,1,1,5,3,2,0,,2,4,33.3
WC-1938,T-23,Dutch East Indies,1,0,0,1,0,6,0,0,,-6,0,0.0
WC-1938,T-30,France,2,1,0,1,4,4,0,0,,0,3,50.0
WC-1938,T-31,Germany,2,0,1,1,3,5,1,0,,-2,1,0.0
WC-1938,T-36,Hungary,4,3,0,1,15,5,0,0,2.0,10,9,75.0
WC-1938,T-41,Italy,4,4,0,0,11,5,1,0,1.0,6,12,100.0
WC-1938,T-48,Netherlands,1,0,0,1,0,3,1,0,,-3,0,0.0
WC-1938,T-53,Norway,1,0,0,1,1,2,1,0,,-1,0,0.0
WC-1938,T-57,Poland,1,0,0,1,5,6,1,0,,-1,0,0.0
WC-1938,T-61,Romania,2,0,1,1,4,5,1,0,,-1,1,0.0
WC-1938,T-74,Sweden,3,1,0,2,11,9,0,0,4.0,2,3,33.3
WC-1938,T-75,Switzerland,3,1,1,1,5,5,1,0,,0,4,33.3
WC-1950,T-07,Bolivia,1,0,0,1,0,8,0,0,,-8,0,0.0
WC-1950,T-09,Brazil,6,4,1,1,22,6,0,0,2.0,16,13,66.7
WC-1950,T-13,Chile,3,1,0,2,5,6,0,0,,-1,3,33.3
WC-1950,T-28,England,3,1,0,2,2,2,0,0,,0,3,33.3
WC-1950,T-41,Italy,2,1,0,1,4,3,0,0,,1,3,50.0
WC-1950,T-46,Mexico,3,0,0,3,2,10,0,0,,-8,0,0.0
WC-1950,T-55,Paraguay,2,0,1,1,2,4,0,0,,-2,1,0.0
WC-1950,T-73,Spain,6,3,1,2,10,12,0,0,4.0,-2,10,50.0
WC-1950,T-74,Sweden,5,2,1,2,11,15,0,0,3.0,-4,7,40.0
WC-1950,T-75,Switzerland,3,1,1,1,4,6,0,0,,-2,4,33.3
WC-1950,T-83,United States,3,1,0,2,4,8,0,0,,-4,3,33.3
WC-1950,T-84,Uruguay,4,3,1,0,15,5,0,0,1.0,10,10,75.0
WC-1950,T-87,Yugoslavia,3,2,0,1,7,3,0,0,,4,6,66.7
WC-1954,T-05,Austria,5,4,0,1,17,12,0,0,3.0,5,12,80.0
WC-1954,T-06,Belgium,2,0,1,1,5,8,1,0,,-3,1,0.0
WC-1954,T-09,Brazil,3,1,1,1,8,5,1,0,,3,4,33.3
WC-1954,T-21,Czechoslovakia,2,0,0,2,0,7,0,0,,-7,0,0.0
WC-1954,T-28,England,3,1,1,1,8,8,1,0,,0,4,33.3
WC-1954,T-30,France,2,1,0,1,3,3,0,0,,0,3,50.0
WC-1954,T-36,Hungary,5,4,0,1,27,10,1,0,2.0,17,12,80.0
WC-1954,T-41,Italy,3,1,0,2,6,7,0,0,,-1,3,33.3
WC-1954,T-46,Mexico,2,0,0,2,2,8,0,0,,-6,0,0.0
WC-1954,T-64,Scotland,2,0,0,2,0,8,0,0,,-8,0,0.0
WC-1954,T-71,South Korea,2,0,0,2,0,16,0,0,,-16,0,0.0
WC-1954,T-75,Switzerland,4,2,0,2,11,11,0,0,,0,6,50.0
WC-1954,T-80,Turkey,3,1,0,2,10,11,0,0,,-1,3,33.3
WC-1954,T-84,Uruguay,5,3,0,2,16,9,1,0,4.0,7,9,60.0
WC-1954,T-86,West Germany,6,5,0,1,25,14,0,0,1.0,11,15,83.3
WC-1954,T-87,Yugoslavia,3,1,1,1,2,3,1,0,,-1,4,33.3
WC-1958,T-03,Argentina,3,1,0,2,5,10,0,0,,-5,3,33.3
WC-1958,T-05,Austria,3,0,1,2,2,7,0,0,,-5,1,0.0
WC-1958,T-09,Brazil,6,5,1,0,16,4,0,0,1.0,12,16,83.3
WC-1958,T-21,Czechoslovakia,4,1,1,2,9,6,1,0,,3,4,25.0
WC-1958,T-28,England,4,0,3,1,4,5,0,0,,-1,3,0.0
WC-1958,T-30,France,6,4,0,2,23,15,0,0,3.0,8,12,66.7
WC-1958,T-36,Hungary,4,1,1,2,7,5,0,0,,2,4,25.0
WC-1958,T-46,Mexico,3,0,1,2,1,8,0,0,,-7,1,0.0
WC-1958,T-52,Northern Ireland,5,2,1,2,6,10,1,0,,-4,7,40.0
WC-1958,T-55,Paraguay,3,1,1,1,9,12,0,0,,-3,4,33.3
WC-1958,T-64,Scotland,3,0,1,2,4,6,0,0,,-2,1,0.0
WC-1958,T-72,Soviet Union,5,2,1,2,5,6,0,0,,-1,7,40.0
WC-1958,T-74,Sweden,6,4,1,1,12,7,0,0,2.0,5,13,66.7
WC-1958,T-85,Wales,5,1,3,1,4,4,0,0,,0,6,20.0
WC-1958,T-86,West Germany,6,2,2,2,12,14,0,0,4.0,-2,8,33.3
WC-1958,T-87,Yugoslavia,4,1,2,1,7,7,0,0,,0,5,25.0
WC-1962,T-03,Argentina,3,1,1,1,2,3,0,0,,-1,4,33.3
WC-1962,T-09,Brazil,6,5,1,0,14,5,0,0,1.0,9,16,83.3
WC-1962,T-10,Bulgaria,3,0,1,2,1,7,0,0,,-6,1,0.0
WC-1962,T-13,Chile,6,4,0,2,10,8,0,0,3.0,2,12,66.7
WC-1962,T-16,Colombia,3,0,1,2,5,11,0,0,,-6,1,0.0
WC-1962,T-21,Czechoslovakia,6,3,1,2,7,7,0,0,2.0,0,10,50.0
WC-1962,T-28,England,4,1,1,2,5,6,0,0,,-1,4,25.0
WC-1962,T-36,Hungary,4,2,1,1,8,3,0,0,,5,7,50.0
WC-1962,T-41,Italy,3,1,1,1,3,2,0,0,,1,4,33.3
WC-1962,T-46,Mexico,3,1,0,2,3,4,0,0,,-1,3,33.3
WC-1962,T-72,Soviet Union,4,2,1,1,9,7,0,0,,2,7,50.0
WC-1962,T-73,Spain,3,1,0,2,2,3,0,0,,-1,3,33.3
WC-1962,T-75,Switzerland,3,0,0,3,2,8,0,0,,-6,0,0.0
WC-1962,T-84,Uruguay,3,1,0,2,4,6,0,0,,-2,3,33.3
WC-1962,T-86,West Germany,4,2,1,1,4,2,0,0,,2,7,50.0
WC-1962,T-87,Yugoslavia,6,3,0,3,10,7,0,0,4.0,3,9,50.0
WC-1966,T-03,Argentina,4,2,1,1,4,2,0,0,,2,7,50.0
WC-1966,T-09,Brazil,3,1,0,2,4,6,0,0,,-2,3,33.3
WC-1966,T-10,Bulgaria,3,0,0,3,1,8,0,0,,-7,0,0.0
WC-1966,T-13,Chile,3,0,1,2,2,5,0,0,,-3,1,0.0
WC-1966,T-28,England,6,5,1,0,11,3,1,0,1.0,8,16,83.3
WC-1966,T-30,France,3,0,1,2,2,5,0,0,,-3,1,0.0
WC-1966,T-36,Hungary,4,2,0,2,8,7,0,0,,1,6,50.0
WC-1966,T-41,Italy,3,1,0,2,2,2,0,0,,0,3,33.3
WC-1966,T-46,Mexico,3,0,2,1,1,3,0,0,,-2,2,0.0
WC-1966,T-51,North Korea,4,1,1,2,5,9,0,0,,-4,4,25.0
WC-1966,T-58,Portugal,6,5,0,1,17,8,0,0,3.0,9,15,83.3
WC-1966,T-72,Soviet Union,6,4,0,2,10,6,0,0,4.0,4,12,66.7
WC-1966,T-73,Spain,3,1,0,2,4,5,0,0,,-1,3,33.3
WC-1966,T-75,Switzerland,3,0,0,3,1,9,0,0,,-8,0,0.0
WC-1966,T-84,Uruguay,4,1,2,1,2,5,0,0,,-3,5,25.0
WC-1966,T-86,West Germany,6,4,1,1,15,6,1,0,2.0,9,13,66.7
WC-1970,T-06,Belgium,3,1,0,2,4,5,0,0,,-1,3,33.3
WC-1970,T-09,Brazil,6,6,0,0,19,7,0,0,1.0,12,18,100.0
WC-1970,T-10,Bulgaria,3,0,1,2,5,9,0,0,,-4,1,0.0
WC-1970,T-21,Czechoslovakia,3,0,0,3,2,7,0,0,,-5,0,0.0
WC-1970,T-27,El Salvador,3,0,0,3,0,9,0,0,,-9,0,0.0
WC-1970,T-28,England,4,2,0,2,4,4,1,0,,0,6,50.0
WC-1970,T-40,Israel,3,0,2,1,1,3,0,0,,-2,2,0.0
WC-1970,T-41,Italy,6,3,2,1,10,8,1,0,2.0,2,11,50.0
WC-1970,T-46,Mexico,4,2,1,1,6,4,0,0,,2,7,50.0
WC-1970,T-47,Morocco,3,0,1,2,2,6,0,0,,-4,1,0.0
WC-1970,T-56,Peru,4,2,0,2,9,9,0,0,,0,6,50.0
WC-1970,T-61,Romania,3,1,0,2,4,5,0,0,,-1,3,33.3
WC-1970,T-72,Soviet Union,4,2,1,1,6,2,1,0,,4,7,50.0
WC-1970,T-74,Sweden,3,1,1,1,2,2,0,0,,0,4,33.3
WC-1970,T-84,Uruguay,6,2,1,3,4,5,1,0,4.0,-1,7,33.3
WC-1970,T-86,West Germany,6,5,0,1,17,10,2,0,3.0,7,15,83.3
WC-1974,T-03,Argentina,6,1,2,3,9,12,0,0,,-3,5,16.7
WC-1974,T-04,Australia,3,0,1,2,0,5,0,0,,-5,1,0.0
WC-1974,T-09,Brazil,7,3,2,2,6,4,0,0,4.0,2,11,42.9
WC-1974,T-10,Bulgaria,3,0,2,1,2,5,0,0,,-3,2,0.0
WC-1974,T-13,Chile,3,0,2,1,1,2,0,0,,-1,2,0.0
