PlayerID,PlayerName,TeamName,TotalGoals,TournamentsScored,MatchesScored,RankGlobal
P-27787,Miroslav Klose,Germany,16,4,11,1
P-62722,Ronaldo,Brazil,15,3,11,2
P-72441,Gerd Müller,West Germany,14,2,9,3
P-14758,Lionel Messi,Argentina,13,4,11,4
P-77939,Just Fontaine,France,13,1,6,4
P-64077,Kylian Mbappé,France,12,2,7,6
P-38906,Pelé,Brazil,12,4,8,6
P-07028,Sándor Kocsis,Hungary,11,1,4,8
P-84542,Gabriel Batistuta,Argentina,10,3,6,9
P-96979,Teófilo Cubillas,Peru,10,2,6,9
P-28154,Thomas Müller,Germany,10,2,7,9
P-21597,Grzegorz Lato,Poland,10,3,8,9
P-36651,Gary Lineker,England,10,2,6,9
P-08136,Helmut Rahn,West Germany,10,2,8,9
P-77430,Jairzinho,Brazil,9,2,8,15
P-64138,Uwe Seeler,West Germany,9,4,9,15
P-78756,Roberto Baggio,Italy,9,3,7,15
P-49381,Ademir,Brazil,9,1,4,15
P-34670,Christian Vieri,Italy,9,2,7,15
P-74747,Eusébio,Portugal,9,1,5,15
P-91717,Paolo Rossi,Italy,9,2,6,15
P-45310,Vavá,Brazil,9,2,6,15
P-59574,Karl-Heinz Rummenigge,West Germany,9,3,6,15
P-49097,David Villa,Spain,9,3,7,15
P-70442,Cristiano Ronaldo,Portugal,8,5,6,25
P-74261,Rivaldo,Brazil,8,2,7,25
P-91373,Jürgen Klinsmann,Germany,8,2,7,25
P-56486,Guillermo Stábile,Argentina,8,1,4,25
P-87008,Neymar,Brazil,8,3,6,25
P-58924,Harry Kane,England,8,2,5,25
P-18523,Oscar Míguez,Uruguay,8,2,4,25
P-80404,Diego Maradona,Argentina,8,3,5,25
P-09730,Leônidas,Brazil,8,2,5,25
P-30486,Luis Suárez,Uruguay,7,3,5,34
P-89554,Johnny Rep,Netherlands,7,2,5,34
P-90635,Careca,Brazil,7,2,5,34
P-60513,Oldřich Nejedlý,Czechoslovakia,7,2,5,34
P-92867,Andrzej Szarmach,Poland,7,3,5,34
P-63184,Hans Schäfer,West Germany,7,2,6,34
P-82971,Lajos Tichy,Hungary,7,2,5,34
P-63266,Rob Rensenbrink,Netherlands,6,2,4,41
P-68671,Bebeto,Brazil,6,2,6,41
P-38556,Asamoah Gyan,Ghana,6,3,6,41
P-89034,György Sárosi,Hungary,6,2,5,41
P-35082,Mario Kempes,Argentina,6,1,3,41
P-04572,Rudi Völler,West Germany,6,2,5,41
P-23705,Arjen Robben,Netherlands,6,3,5,41
P-14406,Josef Hügi,Switzerland,6,1,3,41
P-75912,Enner Valencia,Ecuador,6,2,4,41
P-73354,Oleg Salenko,Russia,6,1,2,41
P-86087,Diego Forlán,Uruguay,6,2,5,41
P-05766,Max Morlock,West Germany,6,1,4,41
P-85257,Erich Probst,Austria,6,1,4,41
P-51336,Wesley Sneijder,Netherlands,6,2,5,41
P-12272,Helmut Haller,West Germany,6,1,4,41
P-85778,Rivellino,Brazil,6,2,6,41
P-51395,Thierry Henry,France,6,2,5,41
P-76544,Salvatore Schillaci,Italy,6,1,6,41
P-93884,Ivan Perišić,Croatia,6,3,6,41
P-22409,Dennis Bergkamp,Netherlands,6,2,6,41
P-81648,Hristo Stoichkov,Bulgaria,6,1,5,41
P-58374,Davor Šuker,Croatia,6,1,6,41
P-03652,Zbigniew Boniek,Poland,6,2,3,41
P-89392,James Rodríguez,Colombia,6,1,5,41
P-99934,Robin van Persie,Netherlands,6,3,5,41
P-29398,Gonzalo Higuaín,Argentina,5,2,3,66
P-25745,Mario Mandžukić,Croatia,5,2,4,66
P-05728,Landon Donovan,United States,5,2,5,66
P-65885,Silvio Piola,Italy,5,1,3,66
P-72864,Franz Beckenbauer,West Germany,5,2,4,66
P-36287,Lukas Podolski,Germany,5,2,4,66
P-42895,Henrik Larsson,Sweden,5,3,4,66
P-61251,Romário,Brazil,5,1,5,66
P-67652,Gyula Zsengellér,Hungary,5,1,3,66
P-18628,Pedro Cea,Uruguay,5,1,3,66
P-16991,Johan Neeskens,Netherlands,5,1,4,66
P-08939,Michel Platini,France,5,3,5,66
P-08514,Fernando Morientes,Spain,5,2,3,66
P-58080,Roger Milla,Cameroon,5,2,3,66
P-71260,Tomáš Skuhravý,Czechoslovakia,5,1,2,66
P-49502,Lothar Matthäus,West Germany,5,2,4,66
P-37483,Zico,Brazil,5,2,4,66
P-50534,Jon Dahl Tomasson,Denmark,5,2,4,66
P-52271,Hans Krankl,Austria,5,2,4,66
P-69659,Marc Wilmots,Belgium,5,2,4,66
P-12940,Emilio Butragueño,Spain,5,1,2,66
P-38873,Juan Alberto Schiaffino,Uruguay,5,2,4,66
P-77851,Peter McParland,Northern Ireland,5,1,3,66
P-56430,Zinedine Zidane,France,5,2,4,66
P-34802,Geoff Hurst,England,5,2,3,66
P-72637,Romelu Lukaku,Belgium,5,2,3,66
P-44926,Tim Cahill,Australia,5,3,4,66
P-39460,Xherdan Shaqiri,Switzerland,5,3,3,66
P-46080,Garrincha,Brazil,5,2,3,66
P-89750,Olivier Giroud,France,5,2,4,66
P-35246,Fernando Hierro,Spain,5,3,5,66
P-59138,Edinson Cavani,Uruguay,5,3,4,66
P-24556,Raúl,Spain,5,3,4,66
P-46574,Alessandro Altobelli,Italy,5,2,4,66
P-60371,Kennet Andersson,Sweden,5,1,4,66
P-11702,Valentin Ivanov,Soviet Union,5,2,4,66
P-99991,Dominique Rocheteau,France,4,3,3,102
P-19888,Hernán Crespo,Argentina,4,2,4,102
P-12676,Ferenc Puskás,Hungary,4,1,3,102
P-08601,Bobby Charlton,England,4,2,3,102
P-82516,Ferenc Bene,Hungary,4,1,4,102
P-20173,Kurt Hamrin,Sweden,4,1,3,102
P-01173,Nándor Hidegkuti,Hungary,4,1,3,102
P-02102,Anatoliy Byshovets,Soviet Union,4,1,2,102
P-45941,Luis Hernández,Mexico,4,1,3,102
P-48686,Paul Breitner,West Germany,4,2,4,102
P-19776,Julián Álvarez,Argentina,4,1,3,102
P-19591,Ahmed Musa,Nigeria,4,2,2,102
P-43675,Denis Cheryshev,Russia,4,1,3,102
P-69340,Florin Răducioiu,Romania,4,1,2,102
P-39318,Ralf Edström,Sweden,4,1,3,102
P-90496,Carlos Borges,Uruguay,4,1,2,102
P-38721,Igor Chislenko,Soviet Union,4,2,4,102
P-67713,Andreas Brehme,West Germany,4,2,4,102
P-61157,Daniel Bertoni,Argentina,4,2,4,102
P-82312,Agne Simonsson,Sweden,4,1,3,102
P-10855,Ihor Belanov,Soviet Union,4,1,2,102
P-18672,Clint Dempsey,United States,4,3,4,102
P-39251,Marcelo Salas,Chile,4,1,3,102
P-13828,Ernst Wilimowski,Poland,4,1,1,102
P-22224,Leonel Sánchez,Chile,4,1,3,102
P-53800,Valeriy Porkujan,Soviet Union,4,1,3,102
P-33175,Keisuke Honda,Japan,4,3,4,102
P-35873,Claudio Caniggia,Argentina,4,2,3,102
P-71720,Zdeněk Zikán,Czechoslovakia,4,1,3,102
P-56703,Angelo Schiavio,Italy,4,1,2,102
P-22428,Chico,Brazil,4,1,2,102
P-22480,Joe Jordan,Scotland,4,3,4,102
P-14764,Róbert Vittek,Slovakia,4,1,3,102
P-26281,Tomas Brolin,Sweden,4,2,4,102
P-55024,Dražan Jerković,Yugoslavia,4,1,3,102
P-29548,Kazimierz Deyna,Poland,4,2,4,102
P-63738,Robert Ballaman,Switzerland,4,1,3,102
P-84534,Oliver Bierhoff,Germany,4,2,4,102
P-04739,René Houseman,Argentina,4,2,4,102
P-63429,Martin Dahlin,Sweden,4,1,3,102
P-71954,Ottmar Walter,West Germany,4,1,3,102
P-77348,Edmund Conen,Germany,4,1,2,102
P-25456,Jan Ceulemans,Belgium,4,2,4,102
P-71973,Bert Patenaude,United States,4,1,2,102
P-16302,Alcides Ghiggia,Uruguay,4,1,4,102
P-90908,Antoine Griezmann,France,4,1,4,102
P-76066,Gino Colaussi,Italy,4,1,3,102
P-51130,Michael Owen,England,4,2,4,102
P-57982,Pauleta,Portugal,4,2,2,102
P-02464,Jorge Valdano,Argentina,4,1,3,102
P-21188,Flórián Albert,Hungary,4,1,2,102
P-65220,Telmo Zarra,Spain,4,1,4,102
P-26640,Leopoldo Luque,Argentina,4,1,3,102
P-71661,Fernando Torres,Spain,4,2,3,102
P-78605,Sócrates,Brazil,4,2,4,102
P-26928,Estanislau Basora,Spain,4,1,3,102
P-06498,Míchel,Spain,4,1,2,102
P-36502,Preben Elkjær,Denmark,4,1,2,102
P-36515,Javier Hernández,Mexico,4,3,4,102
P-94605,Raymond Kopa,France,4,2,4,102
P-85334,André Abegglen,Switzerland,4,2,3,102
P-42223,Wahbi Khazri,Tunisia,3,2,3,163
P-42113,Ángel Di María,Argentina,3,3,3,163
P-17754,Baltazar,Brazil,3,2,3,163
P-81234,Nat Lofthouse,England,3,1,2,163
P-88428,Cuauhtémoc Blanco,Mexico,3,3,3,163
P-30739,Gheorghe Hagi,Romania,3,1,3,163
P-88899,Nelson Cuevas,Paraguay,3,2,2,163
